Africa/Middle East;非洲及中东;Bahrain;巴林;;;
Africa/Middle East;非洲及中东;Iraq;伊拉克;;;
Africa/Middle East;非洲及中东;Israel;以色列;;;
Africa/Middle East;非洲及中东;Jordan;约旦;;;
Africa/Middle East;非洲及中东;Kuwait;科威特;;;
Africa/Middle East;非洲及中东;Lebanon;黎巴嫩;;;
Africa/Middle East;非洲及中东;Oman;阿曼;;;
Africa/Middle East;非洲及中东;Palestinian Authority;巴勒斯坦;;;
Africa/Middle East;非洲及中东;Qatar;卡塔尔;;;
Africa/Middle East;非洲及中东;Saudi Arabia;沙特阿拉伯;;;
Africa/Middle East;非洲及中东;Syria;叙利亚;;;
Africa/Middle East;非洲及中东;Turkey;土耳其;;;
Africa/Middle East;非洲及中东;United Arab Emirates;阿联酋;;;
Africa/Middle East;非洲及中东;Yemen;也门共和国;;;
Africa/Middle East;非洲及中东;Algeria;阿尔及利亚;;;
Africa/Middle East;非洲及中东;Egypt;埃及;;;
Africa/Middle East;非洲及中东;Liby;利比亚;;;
Africa/Middle East;非洲及中东;Morocco;摩洛哥;;;
Africa/Middle East;非洲及中东;Tunisia;突尼斯;;;
Africa/Middle East;非洲及中东;Angola;安哥拉;;;
Africa/Middle East;非洲及中东;Benin;贝宁;;;
Africa/Middle East;非洲及中东;Botswana;博茨瓦那;;;
Africa/Middle East;非洲及中东;Burkina Faso;布基纳法索;;;
Africa/Middle East;非洲及中东;Burundi;布隆迪;;;
Africa/Middle East;非洲及中东;Cameroon;喀麦隆;;;
Africa/Middle East;非洲及中东;Cape Verde;佛得角;;;
Africa/Middle East;非洲及中东;Central African Republic;中非共和国;;;
Africa/Middle East;非洲及中东;Chad;乍得;;;
Africa/Middle East;非洲及中东;Comoros;科摩罗;;;
Africa/Middle East;非洲及中东;Congo (Brazzaville);刚果;;;
Africa/Middle East;非洲及中东;Congo, Democratic Republic of;民主刚果;;;
Africa/Middle East;非洲及中东;Ivory Coast;科特迪瓦;;;
Africa/Middle East;非洲及中东;Djibouti;吉布提;;;
Africa/Middle East;非洲及中东;Equitorial Guinea;赤道几内亚;;;
Africa/Middle East;非洲及中东;Eritrea;厄立特里亚;;;
Africa/Middle East;非洲及中东;Ethiopia;埃塞俄比亚;;;
Africa/Middle East;非洲及中东;Gabon;加蓬;;;
Africa/Middle East;非洲及中东;Gambia, The;冈比亚;;;
Africa/Middle East;非洲及中东;Ghana;加纳;;;
Africa/Middle East;非洲及中东;Guinea;几内亚;;;
Africa/Middle East;非洲及中东;Guinea-Bissau;几内亚(比绍);;;
Africa/Middle East;非洲及中东;Kenya;肯尼亚;;;
Africa/Middle East;非洲及中东;Lesotho;莱索托;;;
Africa/Middle East;非洲及中东;Liberia;利比里亚;;;
Africa/Middle East;非洲及中东;Madagascar;马达加斯加;;;
Africa/Middle East;非洲及中东;Malawi;马拉维;;;
Africa/Middle East;非洲及中东;Mali;马里;;;
Africa/Middle East;非洲及中东;Mauritania;毛里塔尼亚;;;
Africa/Middle East;非洲及中东;Mauritius;毛里求斯;;;
Africa/Middle East;非洲及中东;Mozambique;莫桑比克;;;
Africa/Middle East;非洲及中东;Namibia;纳米比亚;;;
Africa/Middle East;非洲及中东;Niger;尼日尔;;;
Africa/Middle East;非洲及中东;Nigeria;尼日利亚;;;
Africa/Middle East;非洲及中东;Reunion;留尼汪;;;
Africa/Middle East;非洲及中东;Rwanda;卢旺达;;;
Africa/Middle East;非洲及中东;Senegal;塞内加尔;;;
Africa/Middle East;非洲及中东;Seychelles;塞舌尔;;;
Africa/Middle East;非洲及中东;Sierra Leone;塞拉利昂;;;
Africa/Middle East;非洲及中东;Somalia;索马里;;;
Africa/Middle East;非洲及中东;South Africa;南非;;;
Africa/Middle East;非洲及中东;Sudan;苏丹;;;
Africa/Middle East;非洲及中东;Swaziland;斯威士兰;;;
Africa/Middle East;非洲及中东;Tanzania;坦桑尼亚;;;
Africa/Middle East;非洲及中东;Togo;多哥;;;
Africa/Middle East;非洲及中东;Uganda;乌干达;;;
Africa/Middle East;非洲及中东;Zambia;赞比亚;;;
Africa/Middle East;非洲及中东;Zimbabwe;津巴布韦;;;
Asia / Pacific;亚太地区;Australia;澳大利亚;Australian Capital Territory;;
Asia / Pacific;亚太地区;Australia;澳大利亚;New South Wales;;
Asia / Pacific;亚太地区;Australia;澳大利亚;Northern Territories;;
Asia / Pacific;亚太地区;Australia;澳大利亚;Queensland;;
Asia / Pacific;亚太地区;Australia;澳大利亚;South Australia;;
Asia / Pacific;亚太地区;Australia;澳大利亚;Tasmania;;
Asia / Pacific;亚太地区;Australia;澳大利亚;Victoria;;
Asia / Pacific;亚太地区;Australia;澳大利亚;Western Australia;;
Asia / Pacific;亚太地区;Hong Kong;中国香港;Kowloon;;
Asia / Pacific;亚太地区;Hong Kong;中国香港;New Territories;;
Asia / Pacific;亚太地区;Japan;日本;Aichi;;
Asia / Pacific;亚太地区;Japan;日本;Akita;;
Asia / Pacific;亚太地区;Japan;日本;Aomori;;
Asia / Pacific;亚太地区;Japan;日本;Chiba;;
Asia / Pacific;亚太地区;Japan;日本;Ehime;;
Asia / Pacific;亚太地区;Japan;日本;Fukui;;
Asia / Pacific;亚太地区;Japan;日本;Fukuoka;;
Asia / Pacific;亚太地区;Japan;日本;Fukushima;;
Asia / Pacific;亚太地区;Japan;日本;Gifu;;
Asia / Pacific;亚太地区;Japan;日本;Gunma;;
Asia / Pacific;亚太地区;Japan;日本;Hiroshima;;
Asia / Pacific;亚太地区;Japan;日本;Hokkaido;;
Asia / Pacific;亚太地区;Japan;日本;Hyogo;;
Asia / Pacific;亚太地区;Japan;日本;Ibaraki;;
Asia / Pacific;亚太地区;Japan;日本;Ishikawa;;
Asia / Pacific;亚太地区;Japan;日本;Iwate;;
Asia / Pacific;亚太地区;Japan;日本;Kagawa;;
Asia / Pacific;亚太地区;Japan;日本;Kagoshima;;
Asia / Pacific;亚太地区;Japan;日本;Kanagawa;;
Asia / Pacific;亚太地区;Japan;日本;Kochi;;
Asia / Pacific;亚太地区;Japan;日本;Kyoto;;
Asia / Pacific;亚太地区;Japan;日本;Kumamoto;;
Asia / Pacific;亚太地区;Japan;日本;Mie;;
Asia / Pacific;亚太地区;Japan;日本;Miyagi;;
Asia / Pacific;亚太地区;Japan;日本;Miyazaki;;
Asia / Pacific;亚太地区;Japan;日本;Nagano;;
Asia / Pacific;亚太地区;Japan;日本;Nagasaki;;
Asia / Pacific;亚太地区;Japan;日本;Nara;;
Asia / Pacific;亚太地区;Japan;日本;Niigata;;
Asia / Pacific;亚太地区;Japan;日本;Oita;;
Asia / Pacific;亚太地区;Japan;日本;Okayama;;
Asia / Pacific;亚太地区;Japan;日本;Okinawa;;
Asia / Pacific;亚太地区;Japan;日本;Osaka;;
Asia / Pacific;亚太地区;Japan;日本;Saga;;
Asia / Pacific;亚太地区;Japan;日本;Saitama;;
Asia / Pacific;亚太地区;Japan;日本;Shiga;;
Asia / Pacific;亚太地区;Japan;日本;Shimane;;
Asia / Pacific;亚太地区;Japan;日本;Shizuoka;;
Asia / Pacific;亚太地区;Japan;日本;Tochigi;;
Asia / Pacific;亚太地区;Japan;日本;Tokushima;;
Asia / Pacific;亚太地区;Japan;日本;Tokyo;;
Asia / Pacific;亚太地区;Japan;日本;Tottori;;
Asia / Pacific;亚太地区;Japan;日本;Toyama;;
Asia / Pacific;亚太地区;Japan;日本;Wakayama;;
Asia / Pacific;亚太地区;Japan;日本;Yamagata;;
Asia / Pacific;亚太地区;Japan;日本;Yamaguchi;;
Asia / Pacific;亚太地区;Japan;日本;Yamanashi;;
Asia / Pacific;亚太地区;Korea, South;韩国;Chungcheongbuk-do;;
Asia / Pacific;亚太地区;Korea, South;韩国;Chungcheongnam-do;;
Asia / Pacific;亚太地区;Korea, South;韩国;Gangwon-do;;
Asia / Pacific;亚太地区;Korea, South;韩国;Gyeonggi-do;;
Asia / Pacific;亚太地区;Korea, South;韩国;Gyeongsangbuk-do;;
Asia / Pacific;亚太地区;Korea, South;韩国;Gyeongsangnam-do;;
Asia / Pacific;亚太地区;Korea, South;韩国;Jeju-do;;
Asia / Pacific;亚太地区;Korea, South;韩国;Jeollabuk-do;;
Asia / Pacific;亚太地区;Korea, South;韩国;Jeollanam-do;;
Asia / Pacific;亚太地区;New Zealand;新西兰;Jeollanam-do;;
Asia / Pacific;亚太地区;Singapore;新加坡;Jeollanam-do;;
Asia / Pacific;亚太地区;Afghanistan;阿富汗;Afghanistan;;
Asia / Pacific;亚太地区;Armenia;亚美尼亚;Armenia;;
Asia / Pacific;亚太地区;Azerbaijan;阿塞拜疆;Azerbaijan;;
