010000;互联网;一级;互联网;;;Internet ;Internet ;;
010100;网络广告;二级;互联网;网络广告;;Online advertising ;Internet ;Online advertising ;
010200;网络游戏;二级;互联网;网络游戏;;Online games ;Internet ;Online games ;
010300;电子商务;二级;互联网;电子商务;;E-commerce ;Internet ;E-commerce ;
010400;行业网站;二级;互联网;行业网站;;Industry website ;Internet ;Industry website ;
010500;网络社区;二级;互联网;网络社区;;Internet community;Internet ;Internet community;
010600;网络视频;二级;互联网;网络视频;;Network video ;Internet ;Network video ;
010700;电子支付;二级;互联网;电子支付;;Electronic payment ;Internet ;Electronic payment ;
010900;互联网其它;二级;互联网;互联网其它;;Other Internet  ;Internet ;Other Internet  ;
020000;电信及增值;一级;电信及增值;;;Telecommunications and value-added ;Telecommunications and value-added ;;
020100;通信设备;二级;电信及增值;通信设备;;Communications equipment ;Telecommunications and value-added ;Communications equipment ;
020200;移动互联网;二级;电信及增值;移动互联网;;Mobile Internet ;Telecommunications and value-added ;Mobile Internet ;
020201;手机游戏;三级;电信及增值;移动互联网;手机游戏;Mobile games ;Telecommunications and value-added ;Mobile Internet ;Mobile games 
020202;无线广告;三级;电信及增值;移动互联网;无线广告;Wireless advertising ;Telecommunications and value-added ;Mobile Internet ;Wireless advertising 
020209;移动互联网其他;三级;电信及增值;移动互联网;移动互联网其他;Other Mobile Internet ;Telecommunications and value-added ;Mobile Internet ;Other Mobile Internet 
020300;电信运营及信息传输服务;二级;电信及增值;电信运营及信息传输服务;;Telecom operators and information transmission services ;Telecommunications and value-added ;Telecom operators and information transmission services ;
020301;电信运营;三级;电信及增值;电信运营及信息传输服务;电信运营;Telecom operators ;Telecommunications and value-added ;Telecom operators and information transmission services ;Telecom operators 
020309;电信运营及信息传输服务其他;三级;电信及增值;电信运营及信息传输服务;电信运营及信息传输服务其他;Other telecom operators and information transmission services  ;Telecommunications and value-added ;Telecom operators and information transmission services ;Other telecom operators and information transmission services  
020900;电信及增值其他;二级;电信及增值;电信及增值其他;;Other telecommunications and value-added;Telecommunications and value-added ;Other telecommunications and value-added;
030000;IT;一级;IT;;;IT ;IT ;;
